Question Number,Question Type,Required,Question Text (ZH),Question Text (EN),Question Text (DE),Option 1,Option 2,Option 3,Option 4,Validation
1,Multiple choice,Yes,您的母语是什么？,What is your native language?,Was ist Ihre Muttersprache?,Chinese,English,German,Other,
2,Number,Yes,您的年龄,Your age,Ihr Alter,,,,,
3,Multiple choice,Yes,您的最高学历,Your highest education level,Höchster Bildungsabschluss,High School,Bachelor,Master,PhD,
4,Paragraph,Yes,请用3-5句话描述"成功"对您意味着什么。,Describe in 3-5 sentences what "success" means to you.,Beschreiben Sie in 3-5 Sätzen was "Erfolg" für Sie bedeutet.,,,,,Min 50 characters
5,Paragraph,Yes,想到"成功"时您最先想到的5个词是什么？（每行一个）,What are the first 5 words that come to mind when you think of "success"? (One word per line),Was sind die ersten 5 Wörter die Ihnen beim Thema "Erfolg" einfallen? (Ein Wort pro Zeile),,,,,Min 50 characters
6,Paragraph,Yes,一个学生考试得了满分但牺牲了所有社交时间。这个人成功吗？请解释。,A student got a perfect score but sacrificed all social time. Is this person successful? Explain.,Ein Schüler hat eine perfume Note erhalten aber alle sozialen Kontakte aufgegeben. Ist diese Person erfolgreich? Begründen Sie.,,,,,Min 50 characters
7,Paragraph,Yes,请描述"责任"和"自由"之间的关系。,Describe the relationship between "responsibility" and "freedom.",Beschreiben Sie die Beziehung zwischen "Verantwortung" und "Freiheit".,,,,,Min 50 characters
8,Paragraph,Yes,想到"责任"时您最先想到的5个词是什么？（每行一个）,What are the first 5 words that come to mind when you think of "responsibility"? (One word per line),Was sind die ersten 5 Wörter die Ihnen beim Thema "Verantwortung" einfallen? (Ein Wort pro Zeile),,,,,Min 50 characters
9,Paragraph,Yes,一个人有能力帮助别人但选择不帮。这个人有责任吗？为什么？,A person has the ability to help others but chooses not to. Are they responsible? Why?,Eine Person hat die Möglichkeit anderen zu helfen entscheidet sich aber dagegen. Ist sie verantwortlich? Warum?,,,,,Min 50 characters
10,Paragraph,Yes,请描述"自由"的边界在哪里。,Describe where the boundaries of "freedom" lie.,Beschreiben Sie wo die Grenzen der "Freiheit" liegen.,,,,,Min 50 characters
11,Paragraph,Yes,想到"自由"时您最先想到的5个词是什么？（每行一个）,What are the first 5 words that come to mind when you think of "freedom"? (One word per line),Was sind die ersten 5 Wörter die Ihnen beim Thema "Freiheit" einfallen? (Ein Wort pro Zeile),,,,,Min 50 characters
12,Paragraph,Yes,如果一个人的自由选择伤害了他人这种自由应该被限制吗？,If a person's free choice harms others should that freedom be restricted?,Wenn die freie Wahl einer Person anderen schadet sollte diese Freiheit eingeschränkt werden?,,,,,Min 50 characters
13,Paragraph,Yes,"家"和"房子"有什么区别？,What is the difference between "home" and "house"?,Was ist der Unterschied zwischen "Zuhause" und "Haus"?,,,,,Min 50 characters
14,Paragraph,Yes,想到"家"时您最先想到的5个词是什么？（每行一个）,What are the first 5 words that come to mind when you think of "home"? (One word per line),Was sind die ersten 5 Wörter die Ihnen beim Thema "Zuhause" einfallen? (Ein Wort pro Zeile),,,,,Min 50 characters
15,Paragraph,Yes,一个人住在豪宅里但感觉不到温暖。这是"家"吗？,A person lives in a mansion but feels no warmth. Is this "home"?,Eine Person lebt in einer Villa empfindet aber keine Wärme. Ist das "Zuhause"?,?,,,,,Min 50 characters
16,Paragraph,Yes,请描述"正义"对您意味着什么。,Describe what "justice" means to you.,Beschreiben Sie was "Gerechtigkeit" für Sie bedeutet.,,,,,Min 50 characters
17,Paragraph,Yes,想到"正义"时您最先想到的5个词是什么？（每行一个）,What are the first 5 words that come to mind when you think of "justice"? (One word per line),Was sind die ersten 5 Wörter die Ihnen beim Thema "Gerechtigkeit" einfallen? (Ein Wort pro Zeile),,,,,Min 50 characters
18,Paragraph,Yes,为了保护大多数人的利益牺牲少数人的权利这是正义的吗？,Sacrificing the rights of a few to protect the interests of many - is this just?,Um die Interessen der Mehrheit zu schützen die Rechte weniger zu opfern - ist das gerecht?,,,,,Min 50 characters
19,Paragraph,Yes,您觉得您的母语会影响您的思维方式吗？请举例说明。,Do you think your native language influences your way of thinking? Give an example.,Glauben Sie dass Ihre Muttersprache Ihre Denkweise beeinflusst? Geben Sie ein Beispiel.,,,,,Min 50 characters
20,Paragraph,No,如果您会多种语言用不同语言思考同一个问题时您的想法会有变化吗？,If you speak multiple languages does your thinking change when you switch languages?,Wenn Sie mehrere Sprachen sprechen verändert sich Ihr Denken beim Sprachwechsel?,,,,,
