response_id,language,timestamp,duration_seconds,q1,q2,q3,q4,q5,exclude_reason
R20260701_DE_EKJHH6,de,2026-07-01T19:06:47.312Z,1017,Freiheit ist die Abwesenheit von Einschränkungen,Gerechtigkeit ist wenn niemand zu viel oder zu wenig bekommt.,Verantwortung ist wenn man für bereit ist sich mit Konsequenzen des eigenen Handelns auseinanderzusetzen bzw. Sorge trägt für das Wohlergehen anderer Menschen oder den Erfolg gemeinsamer Vorhaben.,"Wohnort, Platz an dem man sich geborgen fühlt.
Weiß nicht genau. Ein Zuhause ist was ziemlich grundlegendes, emotionales, da ist es nicht so einfach die dahinterliegenden Konzepte zu identifizieren.","Erfolg ist wenn man ein Ziel erreicht. 
Um Erfolg zu verstehen sollte man wissen was ein Ziel ist.",
R20260701_DE_TFF14F,de,2026-07-01T20:13:29.710Z,215,Freiheit bedeutet innerhalb von grenzen freie entscheidungen treffen zu können,Gerechtigkeit bedeutet das etwas fair ist und schlechte sachen bestraft werden,Verantwortung bedeutet Aufgaben und Pflichten auf sich zu nehmen. Gegebenfalls auch Erwachsen zu sein oder sich zu verhalten,Der Ort an dem meine Familie wohnt und man sich um mich kümmert,Erflog ist wenn man seine Arbeit gut macht,
R20260702_DE_9OSJ29,de,2026-07-02T04:00:22.599Z,1305,"Freiheit ist die Abwesenheit von Zwang. Echte Freiheit ist dabei nicht möglich, sobald andere Akteure vorhanden sind, denn dann wird es immer Aktionen geben, die Zwang bei anderen erzeugen. 
Die Freiheit eines Einzelnen endet dort, wo sie die Freiheit von anderen beschneidet.","Gerechtigkeit bedeutet für mich, dass man nicht für Dinge bestraft oder benachteiligt wird, für die man nicht verantwortlich ist. Anders herum bedeutet Gerechtigkeit, dass andere nicht ohne Grund bevorzugt werden. Gerechtigkeit ist, dass jeder gleich vor dem Recht ist und das Recht niemanden bevorzugt.","Verantwortung bedeutet eine Verpflichtung bzw. Aufgabe, die Konsequenzen für Aktionen, Projekte oder Personen zu übernehmen. Verantwortung zu haben bedeutet, dass man rechtlich oder ethisch als Ursache von Dingen betrachtet wird. Im Negativen übernimmt man die Schuld, im Positiven erhält man Lob.
Verantwortung bedeutet in diesem Zusammenhang auch die Pflicht darauf hinzuwirken, Schaden von einer Sache oder Person abzuwenden bzw. sich für Erfolg der Sache oder Person einzusetzen.","Zuhause ist für mich ein Ort, an dem man sich sicher und wohl fühlt. Man spürt eine Zugehörigkeit zu dem Ort bzw. der Ort gehört einem selbst. In einem Zuhause hat man die Kontrolle über die Umgebung. Zuhause ist man geschützt und muss nicht vorsichtig sein.","Erfolg bedeutet, dass man ein Ziel erreicht, welches man sich gesetzt hat. Man muss dabei auch zumindest ein bisschen verantwortlich für das Erreichen des Ziels sein, sonst ist es kein Erfolg. Erfolg setzt also auch voraus, dass man scheitern kann.",
R20260702_ZH_JHZK4J,zh,2026-07-02T09:06:34.040Z,424,自由对于个人而言就是想干啥就干啥，但是我们无法回避人性的弱点等。所以对于群体概念而言，自由就像是法家的“权力的笼子”,"我觉得正义对我意味着对于公平的维护，对于反面的惩罚等，总的来说挺好
",责任就是用来被承担的。每个人都对于所有情况的责任，像是所谓的“义务”就是,家不一定是一个特定的地方，可以理解成故乡，一个承载安全的港湾,"成功是对于目标，或者阶段性目标的达成，比如坚持，理解等词汇对于理解成功很重要
",
R20260702_ZH_YP7IMU,zh,2026-07-02T10:08:12.758Z,491,自由意味着不会被限制应该有的东西，但执行自由的同时不能违背他人的自由,正义意味着拥有一个受广泛认可的价值观，会主动执行这个价值观而且被广泛认可,责任相当于义务，是获得了一些权利的同时所需要付出的内容，除了每个人共同的义务之外每个人都有各自不同责任,家意味着人的出生地，因为雏鸟情怀让一个没有其他地方好的地方占据心中无法取代的地方,成功意味着你不会饿死，同时拥有着一个较好的生存环境和足够的情绪价值,
R20260702_DE_HMH36H,de,2026-07-02T10:24:01.475Z,201,Eigene Meinung vertreten und mich frei bewegen kann und Entscheidungen selbst treffen ,"Menschenrechte, Gleichberechtigung und soziales Miteinander ",Rolle übernehmen damit sich andere auf dich verlassen können ,"Familie, ansprechende Person (safeplace)","Glücklich zu sein, etwas selbst geschaffen haben und stolz auf sich selber sein ",
R20260702_DE_6SZ6CE,de,2026-07-02T10:24:54.262Z,258,Freiheit bedeutet für mich machen zu können worauf ich lust habe und nicht was ich zu tuen habe um zu überleben ,Gerechtigkeit bedeutet für mich das alle die gleich chance haben etwas zu tuen z.B das alle eine Gleich hohe aufstiegs chancen bei einen job haben ,Verantwortung ist für mich für meine taten zu stehen und wenn ich etwas falsch gemacht habe die konsequenzen dafür zu erhalten ,Zuhause ist ein ort wo man sich zurück ziehen kann und sich entspannen kann ,Erfolg ist für mich wenn ich in einer freien finanzieller lage bin also z.B zukünftig nicht mehr arbeiten muss.,
R20260702_DE_CWJRV8,de,2026-07-02T10:30:55.104Z,140,"Etwas zu tun, was ich möchte. Schöne Landschaften ","Fairness für alle Beteiligten. Es sollen alle gleich behandelt werden
","Verantwortung bedeutet, Aufgaben für eine Sache oder für Menschen zu übernehmen","Ein Ort mit lieben Menschen, ein Rückzugsort. ","Erfolg bedeutet, die eigenen Ziele zu erreichen ",
R20260702_ZH_XBTVBA,zh,2026-07-02T12:18:04.472Z,326,"负面的自由：能做自己想做的任何事，包括随地拉屎和往别人身上吐痰
正面的自由：能做自己想做的合理的事

我不知道“哪些概念或想法”是什么意思，我理解东西靠本能","公平，人们能获得正当权益
我不知道“哪些概念或想法”是什么意思，我理解东西靠本能","尽力做自己的事，即使客观上没做好。
第二部分不知道，我甚至没看懂第二部分在说什么","我会固定住的地方，并且我对这地方有归属感
我不知道“哪些概念或想法”是什么意思，我理解东西靠本能","达成自己想达成的目标
我不知道“哪些概念或想法”是什么意思，我理解东西靠本能",
R20260703_ZH_7BAP61,zh,2026-07-03T15:16:25.751Z,686,自由不是绝对的，而是相对的。只有在法律的范围内我才能拥有自由。自由意味着我的权利并不受到他人的侵犯。我可以自由的行使自己的合法权利。,正义是我为人处事的基本原则。坚守心中的正义，才能使自己的行为更加规范，同时自己做到无愧于心。公平的讲义气的就是正义。,责任很奇怪，那种感觉时有时无，并不是时时刻刻规范着自己。但责任责任就是自己必须要做的事情，只有能自己肩扛责任才是真正的长大。,亲情对理解家最重要，家是我的避风港，是我规范自身行为，学习生活常识，调节自己心情的地方。家永远让我感觉到温暖，包容与爱,成功是我最终的目标，是遥不可及的梦想。但不可否认的是，它给了我前进的动力，毕竟每个人都渴望成功。但我认为我们不必执着追求成功，过程才是最重要的。并且成功的概念是多元化的。你进步了是一种成功，你做成一件大事也是一种成功。所以不必拘泥于成功的形式，事情往好的方向发展就是成功。,
R20260703_ZH_SR1JIR,zh,2026-07-03T15:46:33.765Z,846,"在法律的范围内行使权利
在不清犯他人合法权益，不违背公序良俗与法律典型的前提下，自由选择思想人生方向，并能为自身选择承担后果","有道德底线，崇德向善
个边疆要塞啊，对是18类的，是要做权利义务相统一程序正义写实的正义，还需要自由和便捷，并持之以共共
",需要承担一些必须做的事；权利与责任相对等，自由与担当共生，因果归因承诺与契约精神，共情与他人廉洁意识，后果承担意识，身份使命,"是一个放松的地方
并不是一个明确的地方，只要有亲人的地方就是家","达到了你之前确定的目标
有明确的目标，不怕失败具有坚韧不拔的精神",
